name,location,price,taxes,stars,ratings,condition,feature1,feature2,feature3
OYO Hotel Elite Lifestyle Red Rose Near 7d Voyage,"Opp R C Sai Neeketan Apartment, Bangalore",₹717,+ ₹126 taxes & fees,3.6,(587 Ratings),Good,Reception,Ticket tour assistance,Caretaker
SPOT ON 811619 Fortuner Palace,"1st Stage, Bangalore",₹410,+ ₹89 taxes & fees,3.6,(120 Ratings),Good,AC,TV,
Collection O Hotel 1089 Olive,"Bagalur Road Yelahanka, Bangalore",₹646,+ ₹107 taxes & fees,3.7,(30 Ratings),Good,Elevator,Free Wifi,Geyser
Collection O 73565 J J Global Exotics Stays,"Near RV COLLEGE, BEML Layout, Bangalore",₹912,+ ₹160 taxes & fees,3.9,(22 Ratings),Good,Parking facility,Reception,Free Wifi
OYO Flagship Varcity Pearl Near Nexus Mall Koramangala,"Near Forum Mall, Koramangala, Bangalore",₹930,+ ₹152 taxes & fees,4.0,(2066 Ratings),Very Good,Elevator,Free Wifi,Geyser
SPOT ON Heaven Co-living,"Pattandur Agraharanull, Bangalore",₹604,+ ₹112 taxes & fees,4.3,(9 Ratings),Very Good,Elevator,24x7 Facility Manager,Free Wifi
OYO Hotel Townhall,"Near Dhanlakshmi Bank, JC Road, Bangalore",₹702,+ ₹134 taxes & fees,4.0,(795 Ratings),Very Good,Parking facility,Elevator,Free Wifi
OYO Townhouse 332 Varthur Main Road Near Nexus Whitefield (The Forum Neighbourhood Mall),"Whitefield, Bangalore",₹1195,+ ₹213 taxes & fees,4.1,(407 Ratings),Very Good,Free Wifi,TV,AC
Collection O SMK Boarding & Lodging,"Bagalur Budigere Rd, Bangalore",₹544,+ ₹105 taxes & fees,5.0,(3 Ratings),Fabulous,Free Wifi,Geyser,Power backup
OYO Townhouse 77 Hotel Room Stories Near RNS Engineering College Rajarajeshwari Nagar,"BEML Layout, Near RNS Engineering college, Rajarajeshwari Nagar, Bangalore",₹862,+ ₹144 taxes & fees,3.5,(150 Ratings),Good,AC,TV,
SPOT ON Hotel Aryan Residency,"West Zone, Bangalore",₹653,+ ₹148 taxes & fees,4.4,(19 Ratings),Very Good,Reception,Free Wifi,Geyser
Collection O Executive Stays Basapura,"Near Electronic City, Basapura Hosur Road, Bangalore",₹714,+ ₹136 taxes & fees,4.0,(1500 Ratings),Very Good,Parking facility,Free Wifi,Power backup
Capital O Swayamkrushi Arcade,"Rajarajeshwari Nagar Zone, Bangalore",₹569,+ ₹98 taxes & fees,3.5,(112 Ratings),Good,Free Wifi,AC,TV
OYO The Royal International Hotel,"Near Robert Bosch Company, Mangammanapalya, Bangalore",₹662,+ ₹120 taxes & fees,3.5,(1409 Ratings),Good,Parking facility,Reception,Free Wifi
OYO Flagship Shri Sai Palace,"Wonderla Gatenull, Bangalore",₹664,+ ₹120 taxes & fees,4.8,(37 Ratings),Excellent,Free Wifi,Geyser,Power backup
Super OYO Townhouse 071 Brookfield Near Brigade Tech Garden,"Near Naryana PU college, BEML Layout, Bangalore",₹2128,+ ₹295 taxes & fees,4.6,(3678 Ratings),Excellent,Private entrance,Parking facility,Reception
Capital O VMK Paradise,"India , Bangalore",₹742,+ ₹129 taxes & fees,3.9,(458 Ratings),Good,Living Room,Reception,Free Wifi
SPOT ON Vasavi Residency,"Bangalor, Bangalore",₹436,+ ₹92 taxes & fees,3.4,(50 Ratings),Fair,Free Wifi,Geyser,Power backup
OYO Flagship V R Residency Near Sri Amruth Chithra Mandira,"Centrally Located, Near 4th block, HBR Layout, Bangalore",₹733,+ ₹128 taxes & fees,3.7,(134 Ratings),Good,Elevator,Free Wifi,Geyser
Super OYO Hotel Resida Elite Service Apartments Near Manipal hospital,"Near Domlur Bridge, Indiranagar, Bangalore",₹1258,+ ₹211 taxes & fees,5.0,(975 Ratings),Fabulous,Parking facility,Free Wifi,Power backup
OYO Flagship Varcity Phi Premium Pavilion Near Ragigudda Sri Prasanna Anjanayeswamy Temple,"B T M Layout, Bangalore",₹1024,+ ₹163 taxes & fees,4.5,(2917 Ratings),Excellent,Living Room,Washing Machine,Balcony
OYO Flagship Pallavi Nilayam,"Near MJ infra, singasamdra, Bangalore",₹746,+ ₹140 taxes & fees,4.4,(336 Ratings),Very Good,Reception,Free Wifi,Power backup
Santa Maria Near Indiranagar Metro Station,"Jeevan Bhima Nagar, Bangalore",₹862,+ ₹144 taxes & fees,4.3,(730 Ratings),Very Good,Hair Dryer,Reception,Free Wifi
SPOT ON Zois Nest,"No 422/732 Ananthanagara Near Star Market 8th Cross Bangalore Electronic City Phase 2, Bangalore",₹544,+ ₹105 taxes & fees,3.9,(326 Ratings),Good,Elevator,Free Wifi,Geyser
Capital O Elite Stay Jp Nagar Near SRI SATHYA GANAPATHI SHIRDI SAIBABA Temple,"6th Phase, Bangalore",₹641,+ ₹117 taxes & fees,3.5,(958 Ratings),Good,Free Wifi,AC,Attached Washroom
OYO The New Golden Keys Near Kengeri Bus Terminal Metro Station,"Near BGS Hospital, Uttarahalli Main Road, Bangalore",₹531,+ ₹134 taxes & fees,2.6,(15 Ratings),Fair,Hair Dryer,Parking facility,Free Wifi
"OYO Aster Vue Hotel ,Near K R Puram , Bhattarahalli Signal","Battarahalli, Bangalore",₹709,+ ₹135 taxes & fees,3.5,(383 Ratings),Good,Free Wifi,Geyser,Power backup
Capital O Manyata Sterling,"Near Manyata Tech Park,Mesthri Palya, Bangalore",₹830,+ ₹160 taxes & fees,3.9,(164 Ratings),Good,Parking facility,Reception,Free Wifi
Collection O Veritas Grand,"Thanisandra, Bangalore",₹706,+ ₹125 taxes & fees,4.1,(138 Ratings),Very Good,Elevator,Free Wifi,Geyser
OYO Vr Residency,"Ramanagara District, Bangalore",₹678,+ ₹121 taxes & fees,3.3,(7 Ratings),Fair,Doctor on call,Parking facility,Reception
